Category,Function Name,Arguments,Result Type,Explanation,Examples
Text,Contains,"(Text u, Text v)",Boolean,"Returns true if v is contained in u, otherwise returns false.","Contains(""abcdef"", ""cd"") returns true"
,,,,,"Contains([Status], ""open"") returns true if the Status field contains the word ""open"""
TextList,Contains,"(TextList textList, Text textToSearchFor)",Boolean,"Returns true if textToSearchFor is contained in textList, otherwise returns false. Comparison is not case sensitive.","Contains([Skills Required], ""Kung fu"") returns true if the ""Skills required"" field has as one of its selected options ""Kung fu"""
UserList,Contains,"Contains (UserList userList, User userToSearchFor)",Boolean,"Returns true if userToSearchFor is contained in userList, otherwise returns false.","Contains([Team members], [Assigned To]) returns true if the value of the ""Assigned To"" field appears in the ""Team members"" list"
Aggregation,Count,"(<any> x, ...)",Number,"Counts the number of non-null arguments. For Text arguments, non-blanks are counted. For Boolean arguments, trues are counted. This function can also be used in the context of a Summary report where it will count the # of Non-null records for each grouping, if used to specify the field to check in a Calculated Column.","Count ("""", ""abc"", true, false, 53) returns 3"
,,,,,
,,,,,"For the Summary Report example, a formula might look something like this:"
,,,,,
,,,,,Count([Field])
,,,,,
,,,,,This might be used if the customer were trying to determine - within the Summary Report groups - how many of these records had a value in [Field]
Dates,Date,"(Number year, Number month, Number day)",Date,"Creates a date from a year, month and day.","Date(2000, 1, 10) returns the date January 10, 2000"
Dates,Day,(Date d),Number,Returns the day of the month of the given Date d.,Day([Start Date]) returns the day of the month for the date that appears in the Start Date field.
,,,,,
,,,,,"Day(ToDate(""Jan 10, 2000"")) returns 10"
Dates,DayOfWeek,(Date d),Number,Returns the number of days by which the given date d follows the first day of the week (Sunday returns 0).,DayOfWeek([Start Date]) returns the number of the day of the week for the date that appears in the Start Date field.
,,,,,"DayOfWeek(ToDate(""Aug 23, 2000"")) returns 3"
,,,,,"DayOfWeek(ToDate(""Aug 20, 2000"")) returns 0"
Dates,DayOfYear,(Date d),Number,Returns the number of days by which the given date d follows the first day of the year (January 1 returns 0).,"DayOfYear(ToDate(""Jan 1, 2000"")) returns 0"
,,,,,"DayOfYear(ToDate(""Jan 10, 2000"")) returns 9"
Durations,Days,(Number n),Duration,"Returns a Duration representing n days. This function takes a number and converts it into a Duration type value, expressed in days.",Days(1.5) returns a 1.5 day duration
